"country","customer_id","invoice_number","invoice_generated_date","invoice_due_date","invoice_amount","invoice_settled_date","days_to_settle","days_late","invoice_status","invoice_dispute_resolution"
Spain,"0688-XNJRO",760825845,2021-08-10,2021-09-09,4058,2021-09-18,39,9,Accepted,In favor of Yellevate
United States,"0625-TNJFG",761602627,2021-09-07,2021-10-07,6416,2021-10-18,41,11,Disputed,In favor of Yellevate
China,"9174-IYKOC",762698565,2020-05-12,2020-06-11,7470,2020-06-04,23,0,Accepted,In favor of Yellevate
Russia,"5613-UHVMG",764361492,2020-11-17,2020-12-17,6380,2021-01-05,49,19,Disputed,In favor of Customer
France,"9117-LYRCE",3961518373,2020-03-05,2020-04-04,6866,2020-04-22,48,18,Disputed,In favor of Yellevate
Russia,"8364-UWVLM",773493683,2021-09-15,2021-10-15,6536,2021-10-21,36,6,Disputed,In favor of Yellevate
France,"5164-VMYWJ",775479959,2021-09-01,2021-10-01,6590,2021-10-03,32,2,Accepted,In favor of Yellevate
France,"6048-QPZCF",7496830993,2020-03-10,2020-04-09,7533,2020-04-08,29,0,Disputed,In favor of Yellevate
United States,"6077-FDQRK",784468555,2021-09-25,2021-10-25,1890,2021-10-25,30,0,Disputed,In favor of Yellevate
France,"9758-AIEIK",3969347325,2020-03-11,2020-04-10,6119,2020-04-21,41,11,Disputed,In favor of Yellevate
France,"9758-AIEIK",816501620,2020-08-20,2020-09-19,3382,2020-09-07,18,0,Accepted,In favor of Yellevate
China,"9212-BTDMX",818753502,2021-01-15,2021-02-14,4818,2021-02-04,20,0,Accepted,In favor of Yellevate
France,"3448-OWJOT",1070459520,2020-03-14,2020-04-13,8610,2020-04-28,45,15,Disputed,In favor of Yellevate
China,"7209-MDWKR",826558350,2021-06-24,2021-07-24,4968,2021-07-30,36,6,Accepted,In favor of Yellevate
China,"5196-TWQXF",828222998,2020-04-13,2020-05-13,7760,2020-05-18,35,5,Accepted,In favor of Yellevate
Spain,"8942-ERSWK",839049806,2021-09-18,2021-10-18,1982,2021-09-22,4,0,Accepted,In favor of Yellevate
China,"6708-DPYTF",839756390,2021-11-25,2021-12-25,7618,2021-12-31,36,6,Accepted,In favor of Yellevate
France,"9725-EZTEJ",9002067860,2020-03-20,2020-04-19,8209,2020-04-26,37,7,Disputed,In favor of Yellevate
China,"1080-NDGAE",857712918,2021-02-22,2021-03-24,9339,2021-04-04,41,11,Disputed,In favor of Customer
France,"0783-PEPYR",858258272,2021-09-30,2021-10-30,4367,2021-11-10,41,11,Accepted,In favor of Yellevate
China,"5196-TWQXF",863594173,2020-02-25,2020-03-26,6560,2020-04-01,36,6,Accepted,In favor of Yellevate
China,"0379-NEVHP",869802822,2020-09-01,2020-10-01,6955,2020-09-23,22,0,Accepted,In favor of Yellevate
France,"6048-QPZCF",870792057,2020-03-19,2020-04-18,7392,2020-03-24,5,0,Accepted,In favor of Yellevate
Russia,"5875-VZQCZ",872319562,2021-09-18,2021-10-18,4617,2021-10-02,14,0,Accepted,In favor of Yellevate
China,"5920-DPXLN",873433318,2020-05-05,2020-06-04,8220,2020-05-24,19,0,Accepted,In favor of Yellevate
Spain,"9883-SDWFS",874115043,2020-05-08,2020-06-07,4125,2020-06-20,43,13,Disputed,In favor of Yellevate
